USB_V,USB_A,USB_W,Int_Accel,Ext_Accel,Net_Traffic,RF_Density,Sys_Temp,Label
5.039,0.263,1.322,0.0427,0.1783,4.566,-81.3,52.0,No
4.98,1.168,5.87,0.7065,0.7502,11.979,-49.4,70.1,Yes
5.017,0.367,1.825,0.1138,0.1948,4.33,-68.2,35.2,No
5.033,0.508,2.541,0.2682,0.1764,6.392,-50.4,46.3,No
5.041,0.087,0.45,0.0906,0.0587,2.264,-85.5,37.5,No
4.984,1.013,5.113,0.7493,0.3794,41.844,-55.9,59.3,No
5.013,1.154,5.822,0.3759,0.4891,24.638,-47.2,57.8,Yes
5.042,0.09,0.478,0.0,0.0455,2.562,-99.2,42.9,No
4.873,2.839,13.685,2.4246,2.997,128.406,-17.2,85.8,Yes
5.022,0.678,3.379,0.8578,0.4365,11.969,-51.9,60.7,Yes
4.901,2.176,10.606,2.7136,4.1028,128.427,-13.7,80.3,Yes
5.048,0.09,0.455,0.076,0.0379,3.202,-97.6,34.3,No
5.019,1.043,5.232,0.706,0.844,39.454,-55.5,62.7,Yes
5.014,0.155,0.756,0.0818,0.0327,1.227,-78.2,37.0,No
5.023,0.153,0.759,0.17,0.0937,1.198,-67.8,41.1,No
4.99,0.819,4.02,0.6322,0.305,19.53,-40.8,65.8,No
5.041,0.17,0.838,0.1841,0.1407,6.025,-92.5,40.6,No
4.999,1.232,6.135,0.7042,0.8408,28.507,-49.6,56.5,Yes
5.017,0.267,1.365,0.1744,0.2024,6.668,-69.3,47.3,No
5.053,0.156,0.79,0.0508,0.0587,3.169,-101.2,42.0,No
4.878,2.156,10.581,3.0911,3.2956,97.667,-15.4,77.7,Yes
5.033,0.12,0.572,0.2054,0.1441,2.411,-74.7,39.3,No
5.036,1.211,6.158,0.6243,0.4686,11.988,-46.2,54.4,No
4.999,0.912,4.595,0.427,0.3157,31.459,-40.8,71.8,Yes
5.058,0.054,0.277,0.0029,0.0122,1.956,-84.3,35.8,No
4.905,2.437,11.905,3.4193,2.9965,119.075,-9.5,85.2,Yes
4.966,1.533,7.509,1.3712,1.8867,65.192,-34.5,69.7,Yes
5.019,0.345,1.731,0.2019,0.0764,6.541,-59.9,43.4,No
4.949,1.554,7.75,1.5987,2.3136,48.801,-32.1,68.4,Yes
4.983,1.811,9.046,1.6493,1.4559,67.845,-38.7,68.1,Yes
4.967,2.029,9.979,1.6303,1.159,56.508,-34.5,66.1,Yes
4.896,1.591,7.703,2.7607,2.6819,101.577,-14.6,73.0,Yes
4.896,2.287,11.274,2.9306,3.2208,117.067,-25.4,83.7,Yes
5.033,0.108,0.501,0.0882,0.0343,6.439,-85.9,46.9,No
4.924,2.41,11.97,3.2959,2.1651,118.02,-26.7,68.1,Yes
5.006,1.193,5.979,0.7266,0.6136,22.55,-44.6,64.7,No
5.063,0.133,0.69,0.0816,0.0097,1.997,-75.0,35.5,No
5.021,0.416,2.07,0.1945,0.1572,1.764,-61.8,44.3,No
5.051,0.164,0.827,0.1903,0.1844,2.67,-84.6,39.2,No
4.996,1.545,7.721,1.7312,1.6912,42.713,-20.0,78.0,Yes
5.046,0.15,0.748,0.0517,0.0043,2.373,-81.4,35.7,No
5.059,0.072,0.369,0.1034,0.0406,2.373,-85.0,37.9,No
5.059,0.073,0.367,0.1038,0.0337,0.903,-82.4,37.7,No
4.93,2.745,13.453,3.6888,3.1744,85.561,-26.9,83.4,Yes
4.941,2.455,12.196,2.1023,3.2541,121.084,-23.7,76.1,Yes
5.018,0.126,0.651,0.0995,0.0639,3.172,-67.1,43.2,No
5.005,0.437,2.202,0.2113,0.2365,6.708,-66.4,53.0,No
5.03,0.387,1.932,0.1703,0.1473,4.895,-79.6,41.9,No
4.97,1.477,7.374,1.5217,2.2339,94.988,-38.9,75.7,Yes
4.996,2.077,10.333,2.0298,1.1235,67.066,-52.9,78.3,Yes
4.905,2.43,11.933,3.2799,3.0802,139.04,-19.7,76.3,Yes
4.923,2.19,10.792,2.9436,3.8851,114.822,-7.3,86.5,Yes
4.847,2.559,12.342,2.6443,4.5569,137.547,-8.3,89.7,Yes
5.009,0.18,0.913,0.0816,0.1446,5.986,-81.0,43.5,No
5.034,0.146,0.728,0.08,0.0775,1.752,-83.1,38.4,No
5.047,0.012,0.064,0.0537,0.0668,1.485,-89.1,38.3,No
4.996,0.896,4.581,0.8869,0.7723,15.667,-43.1,58.1,No
4.905,2.418,11.986,3.7821,4.1681,129.376,-30.3,81.1,Yes
5.019,1.428,7.219,1.6114,2.3142,44.146,-30.7,62.6,Yes
5.041,0.432,2.131,0.3075,0.2608,7.355,-64.5,47.8,No
4.98,1.257,6.328,0.4939,0.807,16.919,-58.0,63.0,Yes
4.959,1.384,6.829,1.2783,1.3812,60.652,-42.8,68.1,Yes
5.031,0.2,0.95,0.0273,0.0171,1.5,-81.7,38.5,No
4.907,1.718,8.367,2.1471,3.789,124.178,-32.5,81.6,Yes
5.019,1.112,5.534,0.5174,0.4409,41.953,-35.4,55.8,No
5.047,0.097,0.497,0.0616,0.0074,2.191,-83.2,37.0,No
5.0,0.459,2.303,0.2152,0.1714,7.259,-50.8,54.0,No
4.899,1.975,9.769,1.8542,3.1024,137.391,-17.0,83.4,Yes
4.898,2.528,12.348,3.8735,3.4815,90.546,-27.0,73.5,Yes
5.057,0.118,0.602,0.1058,0.0489,2.21,-92.1,32.4,No
5.038,0.237,1.198,0.1495,0.0237,7.518,-62.6,44.5,No
5.039,0.043,0.224,0.0659,0.051,2.616,-87.9,34.6,No
5.054,0.078,0.405,0.0931,0.0428,0.649,-85.1,42.6,No
4.884,2.237,10.849,2.3362,3.4085,110.117,-19.1,75.6,Yes
4.917,1.649,7.975,2.9285,2.6734,130.182,-8.5,82.1,Yes
5.009,1.131,5.707,0.5597,0.4674,34.777,-65.0,59.6,No
5.04,0.269,1.345,0.1062,0.0468,5.98,-56.1,40.3,No
5.007,0.886,4.498,0.7937,0.4791,9.011,-53.5,67.5,Yes
4.901,2.326,11.446,2.2034,3.1613,112.389,-7.1,79.5,Yes
5.076,0.089,0.439,0.1126,0.0577,2.072,-102.2,36.9,No
4.986,1.436,7.256,1.6801,1.7363,65.021,-33.2,77.3,Yes
5.011,0.294,1.44,0.0336,0.1687,6.19,-72.4,43.9,No
4.909,1.631,8.159,2.5253,2.9003,97.353,-18.7,73.7,Yes
5.044,0.132,0.69,0.0014,0.0258,0.808,-110.0,33.3,No
5.003,0.55,2.768,0.6323,0.3379,21.902,-46.2,61.5,Yes
5.041,0.132,0.659,0.0647,0.0826,2.432,-83.3,35.1,No
5.01,1.435,7.246,2.3438,1.2982,52.167,-26.6,78.7,Yes
4.851,2.481,12.015,3.2761,2.8088,132.76,-31.8,88.2,Yes
4.91,1.544,7.646,1.9025,3.3858,97.552,-9.0,73.2,Yes
5.005,1.051,5.249,0.8059,0.4575,29.123,-55.2,66.4,No
4.99,0.518,2.613,0.3259,0.1537,5.821,-62.7,51.9,No
5.036,0.438,2.212,0.1728,0.1551,4.676,-77.0,46.9,No
4.981,1.196,5.998,0.8451,0.6916,14.929,-54.3,63.1,Yes
5.037,0.184,0.912,0.1146,0.1867,5.689,-74.6,46.6,No
5.003,0.371,1.863,0.1595,0.0482,2.419,-65.2,43.3,No
5.05,0.362,1.827,0.1701,0.082,4.232,-78.2,38.6,No
5.035,0.172,0.864,0.1709,0.1237,2.294,-91.6,52.0,No
5.043,0.149,0.752,0.0148,0.021,2.245,-77.5,35.3,No
5.056,0.157,0.794,0.0635,0.0138,2.741,-85.0,37.3,No
4.9,1.507,7.476,3.1993,2.8549,102.364,-20.9,83.9,Yes
5.005,1.973,9.942,1.5783,1.9548,71.312,-41.3,78.2,Yes
5.012,1.25,6.236,0.4389,0.6088,9.009,-47.7,67.2,Yes
4.965,2.029,10.014,2.41,1.2013,47.351,-30.5,62.0,Yes
5.033,0.846,4.201,0.7007,0.5507,40.741,-54.7,63.1,Yes
4.981,1.465,7.311,1.2358,2.0325,58.675,-39.4,72.8,Yes
4.92,2.538,12.48,2.8591,2.6817,95.362,-12.4,87.5,Yes
5.0,0.345,1.719,0.1523,0.0595,6.258,-66.5,47.1,No
5.04,0.019,0.093,0.0328,0.0725,2.981,-91.4,37.5,No
4.925,1.326,6.621,1.2744,1.5443,75.967,-31.8,73.1,Yes
5.031,0.503,2.589,0.2313,0.1751,7.23,-45.0,54.0,No
4.931,1.533,7.723,3.2809,3.4414,124.364,-11.0,78.4,Yes
5.023,0.1,0.501,0.0665,0.1317,3.745,-74.9,40.8,No
5.027,1.211,5.997,0.4935,0.5392,31.257,-52.0,61.3,No
4.989,1.028,5.169,0.4261,0.3987,18.349,-34.2,57.3,No
4.965,2.07,10.229,2.4043,3.4896,108.753,-12.7,72.0,Yes
4.89,2.902,14.264,3.1955,2.7736,108.794,-36.6,85.9,Yes
4.99,0.446,2.247,0.2864,0.2593,5.424,-69.6,46.7,No
5.061,0.11,0.55,0.0127,0.0504,2.339,-83.4,34.1,No
5.039,0.749,3.78,0.7512,0.3939,22.552,-52.4,63.5,No
4.984,1.18,5.86,0.6867,0.4335,25.915,-59.4,59.5,No
4.876,2.052,9.926,2.7097,2.7574,99.209,-24.4,85.1,Yes
5.02,0.862,4.178,0.488,0.6445,10.976,-47.5,61.5,Yes
4.977,2.062,10.205,1.5851,2.0277,56.327,-22.7,69.7,Yes
5.079,0.175,0.874,0.0775,0.0484,1.934,-83.0,30.0,No
5.031,0.181,0.882,0.1501,0.1526,5.137,-70.5,46.0,No
5.043,0.272,1.395,0.1183,0.1559,2.222,-85.7,37.2,No
5.035,0.124,0.629,0.0321,0.0488,1.015,-83.4,30.8,No
4.976,1.466,7.297,1.9416,1.4114,67.386,-27.1,75.7,Yes
5.064,0.317,1.617,0.0627,0.1258,5.534,-62.1,40.0,No
4.917,1.849,9.063,2.5581,2.8658,100.613,-12.8,74.4,Yes
5.04,0.701,3.608,0.8063,0.7083,40.507,-45.3,56.7,Yes
4.997,1.928,9.621,1.3202,1.6875,70.602,-36.2,63.3,Yes
5.05,0.101,0.505,0.063,0.0004,1.432,-93.0,33.0,No
5.039,0.142,0.715,0.0581,0.0676,1.81,-94.4,30.0,No
5.05,0.16,0.79,0.0319,0.0552,0.734,-87.9,34.8,No
4.984,2.073,10.426,1.3158,1.813,69.664,-30.0,76.9,Yes
5.009,0.342,1.738,0.2624,0.1558,5.897,-72.5,35.9,No
5.078,0.071,0.347,0.095,0.0127,1.465,-86.4,32.9,No
5.018,0.657,3.302,0.5524,0.3616,41.765,-53.4,69.1,No
4.937,1.703,8.414,2.5254,3.7776,108.719,-22.3,81.1,Yes
5.034,1.047,5.202,0.6027,0.6968,25.093,-45.5,61.6,No
5.027,0.393,1.958,0.1907,0.0402,7.155,-69.2,43.5,No
5.04,0.988,4.943,0.486,0.6788,41.64,-47.2,57.5,Yes
5.002,0.757,3.723,0.4241,0.7906,24.376,-56.0,57.8,No
4.99,0.429,2.182,0.3118,0.2003,5.796,-68.1,52.0,No
4.889,2.366,11.588,3.4206,3.6767,102.892,-3.0,84.0,Yes
5.068,0.063,0.325,0.0212,0.038,2.632,-88.0,35.1,No
4.962,1.961,9.678,1.302,1.7229,52.328,-30.9,65.8,Yes
4.986,1.124,5.521,0.6954,0.5041,24.191,-43.0,68.3,No
5.04,0.668,3.403,0.3973,0.5949,37.685,-44.4,61.3,Yes
5.048,0.137,0.686,0.0905,0.0222,2.439,-63.9,35.1,No
4.823,2.886,13.765,3.3309,3.9721,122.305,-11.8,85.5,Yes
5.043,0.339,1.733,0.0499,0.1884,4.113,-82.6,43.8,No
4.954,1.904,9.511,2.247,1.1857,87.126,-35.5,71.7,Yes
5.009,0.163,0.787,0.2226,0.1662,3.6,-76.1,41.5,No
5.029,0.164,0.825,0.0303,0.0257,0.705,-93.0,36.3,No
4.865,2.974,14.448,3.3174,3.3492,104.586,-21.8,84.4,Yes
4.963,1.344,6.736,1.6943,2.1892,85.727,-32.9,69.4,Yes
5.029,0.402,2.02,0.1383,0.206,2.093,-76.5,41.7,No
4.902,2.851,13.809,2.2154,3.4899,129.574,-18.8,87.3,Yes
5.053,0.095,0.471,0.0021,0.028,2.348,-83.4,44.8,No
5.055,0.022,0.115,0.035,0.0695,0.876,-91.1,35.3,No
5.05,0.169,0.848,0.0722,0.0705,0.561,-76.9,34.9,No
5.039,0.141,0.711,0.1133,0.0468,1.712,-81.3,37.2,No
4.99,1.09,5.506,0.7153,0.6766,35.324,-41.3,69.1,Yes
5.047,0.08,0.401,0.0679,0.0075,2.301,-76.8,32.1,No
4.894,2.695,13.339,2.3141,3.6449,133.818,-20.9,86.2,Yes
5.039,0.215,1.094,0.199,0.1409,6.409,-79.5,49.7,No
5.0,0.217,1.091,0.118,0.1457,4.203,-80.5,36.2,No
5.009,0.15,0.749,0.1696,0.1017,6.591,-86.2,44.8,No
5.054,0.091,0.471,0.0858,0.0738,0.5,-85.6,31.0,No
5.04,0.2,0.985,0.1917,0.0469,7.125,-74.8,49.2,No
4.956,1.865,9.202,3.1074,3.0748,144.53,-16.3,81.9,Yes
4.962,1.699,8.339,2.2954,2.2135,43.415,-30.0,75.0,Yes
4.907,2.251,11.006,1.9117,2.1371,114.483,-10.3,76.3,Yes
5.0,0.514,2.567,0.3362,0.2482,7.479,-69.1,52.6,No
5.05,0.059,0.305,0.0533,0.0781,0.718,-81.8,39.5,No
5.012,0.433,2.173,0.2435,0.1796,6.057,-63.2,44.9,No
4.915,2.537,12.494,3.0866,3.7098,122.662,-25.9,88.0,Yes
4.964,1.668,8.284,1.8385,1.6248,60.602,-38.3,67.6,Yes
4.991,0.719,3.593,0.5993,0.3488,41.468,-42.8,64.4,No
5.032,0.185,0.95,0.1199,0.0456,1.79,-81.3,31.2,No
4.991,1.024,5.009,0.8351,0.6409,11.608,-56.3,62.1,Yes
5.044,0.092,0.447,0.0,0.0515,0.752,-78.7,39.0,No
5.04,0.877,4.394,0.5352,0.3345,12.742,-60.8,54.3,Yes
5.044,0.116,0.571,0.0939,0.0705,2.401,-95.5,36.1,No
4.947,2.181,10.82,2.2701,2.6352,130.465,-16.5,81.3,Yes
4.986,0.614,2.924,0.4964,0.8045,20.807,-40.6,62.9,No
5.039,0.415,2.137,0.2607,0.2325,7.594,-53.5,48.1,No
4.989,0.688,3.383,0.8313,0.4109,16.454,-51.7,70.1,No
5.001,0.339,1.721,0.2221,0.0382,1.676,-70.0,37.3,No
4.939,2.318,11.447,2.4185,2.1129,129.028,-12.1,78.6,Yes
5.061,0.163,0.817,0.1103,0.0747,1.504,-87.1,39.7,No
5.001,0.754,3.855,0.5037,0.6798,23.322,-54.8,56.8,No
4.89,2.865,14.007,2.6732,3.3622,131.507,-22.9,94.5,Yes
4.909,2.92,14.261,3.4577,3.8356,89.929,-30.4,86.2,Yes
4.913,2.261,11.077,3.1203,3.1745,118.45,-12.2,87.1,Yes
4.907,2.627,12.864,2.7899,3.4592,119.878,-18.3,85.1,Yes
4.928,2.879,14.209,2.5175,3.9669,137.574,-17.0,85.2,Yes
5.013,0.371,1.848,0.1157,0.0473,3.689,-59.2,47.1,No
4.914,1.956,9.659,2.887,4.2019,108.21,-23.3,91.4,Yes
5.021,0.48,2.439,0.3038,0.2708,6.534,-56.6,48.0,No
5.004,1.544,7.703,2.1209,2.3908,73.702,-42.7,74.0,Yes
5.055,0.038,0.183,0.1026,0.0334,0.708,-95.4,30.0,No
5.015,0.523,2.603,0.213,0.1703,7.696,-67.0,53.4,No
5.055,0.41,2.025,0.0391,0.1519,3.418,-75.4,46.8,No
5.024,0.067,0.332,0.0685,0.0187,1.165,-92.2,33.6,No
5.036,0.508,2.582,0.2593,0.1959,7.326,-59.2,46.8,No
5.028,0.067,0.345,0.0624,0.007,2.712,-84.6,30.0,No
5.006,1.007,4.896,0.7724,0.4816,9.41,-52.7,60.1,Yes
4.889,2.739,13.602,2.937,4.3577,116.582,-13.0,79.3,Yes
5.001,0.512,2.515,0.2733,0.2886,6.869,-62.9,49.3,No
4.906,2.915,14.323,3.8101,4.1827,121.933,-28.1,72.0,Yes
4.884,3.033,14.843,2.9386,4.1832,122.679,-18.4,89.6,Yes
5.059,0.077,0.405,0.0119,0.0253,2.07,-101.1,35.3,No
5.02,0.72,3.59,0.7489,0.5602,22.674,-31.3,66.4,Yes
5.023,0.463,2.36,0.2765,0.1479,7.302,-53.2,50.7,No
5.071,0.146,0.752,0.0917,0.0609,1.373,-82.0,32.5,No
5.012,1.108,5.51,0.6647,0.6867,15.114,-48.3,63.5,No
4.977,1.863,9.356,1.2145,1.6999,91.393,-48.9,73.5,Yes
5.044,0.424,2.113,0.0584,0.095,4.627,-82.1,36.0,No
5.04,1.224,6.027,0.7253,0.3503,34.724,-39.2,64.6,Yes
5.055,0.125,0.604,0.1043,0.0674,3.713,-84.3,43.9,No
5.028,0.635,3.185,0.5992,0.476,25.629,-56.6,65.5,No
5.03,0.254,1.272,0.268,0.0709,2.006,-81.4,41.4,No
4.961,1.651,8.142,1.4787,1.9751,56.341,-37.6,72.8,Yes
5.017,1.036,5.226,0.7654,0.48,33.187,-56.9,64.1,Yes
5.041,0.418,2.115,0.2199,0.1875,5.423,-58.3,53.1,No
4.972,1.636,8.22,2.1539,1.8231,92.778,-37.1,71.3,Yes
5.014,0.175,0.902,0.078,0.1212,5.288,-76.6,42.1,No
5.052,0.377,1.881,0.2051,0.0862,4.792,-65.6,37.7,No
5.045,0.191,0.969,0.1082,0.058,5.299,-85.4,48.3,No
4.954,1.548,7.731,1.2416,1.6653,63.105,-39.4,70.8,Yes
4.909,1.86,9.066,3.8729,3.4747,93.681,-27.2,86.7,Yes
5.013,0.056,0.281,0.1027,0.054,3.158,-85.8,38.2,No
5.0,0.441,2.248,0.1143,0.0448,1.978,-81.1,39.4,No
5.023,1.135,5.785,0.6667,0.7749,23.673,-46.0,59.2,Yes
4.902,1.777,8.735,2.934,2.3252,121.424,-15.8,80.5,Yes
4.907,1.725,8.533,2.8565,2.1642,107.651,-14.4,78.7,Yes
4.926,2.183,10.598,2.9732,2.8301,141.021,-1.6,73.8,Yes
4.896,2.486,12.145,2.5789,2.7861,103.3,-6.2,69.3,Yes
5.051,0.242,1.204,0.2253,0.0452,3.414,-94.1,38.2,No
5.046,0.208,1.054,0.1977,0.0331,6.758,-73.5,44.8,No
4.998,1.754,8.804,2.0146,2.3215,52.707,-36.8,70.0,Yes
4.901,2.108,10.258,2.5296,3.267,99.081,-9.7,81.6,Yes
5.065,0.258,1.278,0.1416,0.0533,6.892,-74.4,41.8,No
4.922,1.92,9.416,2.1852,2.5292,109.773,-25.3,85.8,Yes
4.994,1.577,7.848,1.3922,1.5287,40.453,-49.2,69.1,Yes
4.879,2.268,11.078,3.7278,3.6543,127.002,-29.2,86.4,Yes
5.014,0.264,1.336,0.2656,0.0494,1.967,-74.0,40.3,No
5.036,0.387,1.95,0.0986,0.2241,3.396,-73.7,47.2,No
4.915,1.837,9.046,2.5999,3.7566,80.385,-25.0,82.8,Yes
5.005,0.76,3.836,0.8899,0.6535,32.471,-43.0,60.7,Yes
5.071,0.106,0.542,0.0809,0.0606,1.411,-87.2,38.2,No
4.936,3.11,15.428,2.2818,3.2937,101.209,-20.0,83.4,Yes
4.929,1.823,8.944,2.471,3.5403,117.841,-19.3,79.3,Yes
4.925,1.79,8.905,2.8589,2.0815,119.755,-12.3,76.7,Yes
5.045,0.07,0.342,0.0046,0.0723,1.806,-97.0,34.1,No
5.056,0.065,0.319,0.0989,0.0503,1.772,-97.4,35.9,No
5.015,0.506,2.556,0.2782,0.2642,5.943,-46.1,51.8,No
5.048,0.393,2.012,0.1158,0.0818,1.857,-71.8,42.7,No
5.032,0.195,1.046,0.0489,0.1936,5.901,-58.4,38.5,No
5.006,0.861,4.382,0.6297,0.3434,15.579,-48.0,52.2,Yes
5.04,0.114,0.576,0.0218,0.051,0.868,-98.4,39.0,No
5.022,0.261,1.28,0.2439,0.2164,7.218,-73.2,42.2,No
5.072,0.119,0.602,0.0964,0.0078,0.985,-84.5,35.7,No
5.048,0.068,0.314,0.0923,0.0362,0.664,-81.5,36.7,No
4.882,1.694,8.325,1.8558,2.3812,143.577,-15.5,82.4,Yes
4.924,1.708,8.555,2.1955,3.407,139.943,-10.8,83.6,Yes
5.038,0.354,1.787,0.1963,0.1738,2.845,-75.5,50.7,No
4.925,1.676,8.246,2.4491,2.7835,107.688,-22.6,87.6,Yes
5.056,0.055,0.29,0.1041,0.0339,1.332,-88.4,44.0,No
5.006,1.218,6.023,0.7023,0.4146,13.233,-52.7,61.4,No
4.948,1.9,9.348,2.3676,3.7956,120.004,-16.9,73.7,Yes
5.054,0.14,0.715,0.0538,0.0236,1.602,-88.2,35.1,No
5.008,0.488,2.442,0.255,0.1621,6.513,-47.5,52.7,No
4.972,1.982,9.875,1.6356,1.678,83.701,-31.0,72.8,Yes
4.884,1.877,9.459,3.1721,3.1711,111.087,-21.4,88.4,Yes
5.028,0.268,1.35,0.201,0.0683,4.103,-82.8,48.0,No
4.908,2.178,10.632,3.4597,3.6035,97.677,-9.0,84.8,Yes
5.047,0.037,0.189,0.0404,0.0731,0.572,-96.4,33.9,No
5.005,1.139,5.72,0.6693,0.7046,41.502,-30.0,59.9,No
4.996,0.529,2.576,0.2643,0.1963,7.162,-70.6,51.6,No
4.985,1.148,5.637,0.6783,0.6451,22.818,-55.6,64.0,No
5.055,0.168,0.849,0.0107,0.0156,0.914,-83.1,42.9,No
4.899,2.642,12.924,2.4814,2.7253,131.272,-17.0,84.9,Yes
4.977,1.773,8.875,1.7048,2.1881,81.855,-44.7,72.3,Yes
5.027,0.03,0.163,0.0958,0.0599,3.088,-100.0,31.6,No
5.034,0.174,0.874,0.166,0.0725,2.595,-73.4,52.0,No
5.035,0.113,0.567,0.2639,0.0485,5.848,-67.7,44.0,No
5.04,0.416,2.153,0.1157,0.1145,7.628,-95.3,39.6,No
5.019,0.433,2.143,0.2904,0.2467,6.57,-58.7,49.3,No
4.948,2.359,11.583,2.6819,3.1209,122.374,-27.3,80.4,Yes
4.938,1.529,7.557,1.4617,1.6659,68.697,-32.5,69.3,Yes
5.018,0.429,2.135,0.3064,0.2496,7.507,-46.4,52.5,No
5.062,0.168,0.839,0.0172,0.0448,2.491,-86.2,35.8,No
4.955,2.4,11.816,3.3453,4.3197,116.761,-29.2,78.9,Yes
5.013,0.951,4.761,0.8287,0.6733,23.401,-34.6,58.1,No
5.055,0.174,0.891,0.08,0.0096,0.992,-90.1,40.6,No
4.88,2.965,14.482,3.4412,4.262,141.667,-16.4,80.7,Yes
5.022,0.211,1.116,0.2307,0.1948,2.38,-82.6,42.3,No
4.959,1.559,7.795,1.7194,2.3272,88.321,-39.8,73.2,Yes
4.921,2.398,11.833,2.8605,2.5256,135.173,-22.5,84.0,Yes
4.936,1.78,8.692,2.0457,2.0053,103.348,-28.7,78.3,Yes
4.947,2.023,9.965,1.2919,1.681,73.398,-37.3,62.0,Yes
5.008,0.369,1.837,0.1432,0.1905,5.689,-85.4,51.8,No
4.971,1.836,9.053,1.2931,1.2275,58.779,-34.2,64.0,Yes
5.024,0.271,1.342,0.1544,0.0762,3.817,-68.1,38.4,No
4.904,2.401,11.672,3.0754,3.6247,85.763,-12.9,91.6,Yes
5.052,0.067,0.338,0.0843,0.0785,1.62,-94.8,36.3,No
4.861,2.767,13.447,2.7541,2.9326,127.577,-18.3,86.8,Yes
5.032,0.442,2.188,0.2341,0.1606,6.193,-52.3,51.5,No
4.968,1.873,9.291,2.0375,2.3237,62.068,-29.6,81.7,Yes
4.907,2.299,11.34,3.0695,2.8089,80.839,-24.6,89.5,Yes
4.868,2.424,11.896,3.2084,3.0603,89.952,-17.5,85.6,Yes
5.018,0.522,2.591,0.2914,0.2271,7.82,-54.5,45.1,No
4.908,1.528,7.571,3.1811,3.4505,145.913,-21.6,85.1,Yes
4.952,2.477,12.284,3.2751,2.2442,117.44,-14.1,84.0,Yes
5.004,0.457,2.284,0.2034,0.2645,6.775,-58.0,49.4,No
4.917,2.787,13.716,3.5571,4.1319,135.185,-9.3,86.1,Yes
5.051,0.029,0.141,0.0177,0.0344,1.67,-77.9,34.6,No
4.921,1.556,7.675,2.5085,3.0371,133.336,-23.6,80.8,Yes
4.869,1.675,8.018,2.8705,3.0834,127.884,-19.5,86.4,Yes
5.013,0.847,4.229,0.523,0.4673,36.541,-35.8,72.0,No
5.073,0.039,0.193,0.0577,0.0603,0.563,-91.5,37.3,No
5.039,0.127,0.635,0.1548,0.1327,5.272,-64.4,41.7,No
5.004,0.459,2.273,0.2428,0.2884,7.312,-66.7,48.9,No
4.886,2.464,11.951,2.3372,3.7867,128.97,-16.3,87.5,Yes
4.831,2.285,11.002,2.3387,3.7006,75.952,-20.6,95.0,Yes
4.997,1.38,6.903,1.4512,2.2007,82.872,-26.7,75.3,Yes
5.006,1.195,6.073,0.6763,0.4486,13.273,-33.3,61.3,Yes
4.984,1.172,5.897,0.4183,0.3458,13.963,-57.8,71.6,No
5.055,0.018,0.08,0.0544,0.0393,1.861,-102.0,34.4,No
4.942,1.667,8.261,2.0417,3.4626,138.431,-31.6,81.1,Yes
5.035,0.197,0.987,0.0979,0.2137,2.831,-78.4,49.8,No
5.02,0.386,1.934,0.1624,0.0905,6.797,-66.9,44.7,No
5.047,0.053,0.258,0.0011,0.0795,1.953,-85.4,38.3,No
4.944,2.579,12.693,3.6383,2.9043,75.031,-19.8,83.2,Yes
5.0,0.407,2.024,0.1682,0.085,2.077,-64.4,44.5,No
5.042,0.391,1.978,0.1908,0.1724,3.076,-70.8,43.1,No
4.951,2.023,9.989,1.5326,2.3275,94.6,-30.3,70.1,Yes
5.07,0.043,0.217,0.1064,0.0681,0.559,-81.9,38.9,No
5.032,0.165,0.851,0.1066,0.0401,2.602,-91.6,37.7,No
4.909,2.732,13.437,2.8484,3.763,139.264,-15.3,81.0,Yes
5.0,0.28,1.4,0.2486,0.0604,5.097,-83.5,44.6,No
5.071,0.133,0.7,0.076,0.0241,1.911,-84.6,36.4,No
5.03,0.016,0.066,0.0846,0.0657,2.787,-88.9,30.2,No
5.02,0.677,3.445,0.583,0.3345,26.817,-55.9,63.3,No
5.015,0.571,2.746,0.8943,0.4385,34.117,-56.3,59.2,Yes
4.968,1.941,9.649,1.6422,1.2171,60.558,-40.5,75.3,Yes
5.006,0.525,2.693,0.2985,0.1573,6.167,-55.2,50.7,No
5.037,0.48,2.438,0.2469,0.2171,5.972,-72.3,51.9,No
5.049,0.043,0.222,0.0661,0.04,1.511,-89.2,31.1,No
5.057,0.066,0.338,0.0669,0.0361,1.792,-98.2,38.6,No
4.891,2.122,10.389,2.642,4.3473,120.082,-19.7,85.6,Yes
5.026,0.296,1.505,0.2172,0.1035,5.413,-56.0,49.3,No
4.882,3.027,14.743,3.8055,2.8494,127.516,-21.5,79.6,Yes
4.941,2.3,11.296,2.6249,3.0219,101.376,-26.0,77.0,Yes
4.99,0.447,2.244,0.3074,0.1933,7.232,-56.5,54.6,No
4.977,1.478,7.491,1.5793,2.1108,49.434,-33.2,72.3,Yes
4.908,1.548,7.658,3.0652,2.4056,108.868,-28.4,88.0,Yes
5.002,0.431,2.163,0.106,0.1585,4.569,-69.2,42.5,No
5.086,0.025,0.104,0.0363,0.065,1.295,-88.3,31.3,No
4.865,2.795,13.71,3.4353,3.0716,115.065,-20.2,92.1,Yes
4.959,1.932,9.565,2.8576,3.7078,138.682,-10.9,78.7,Yes
5.041,0.035,0.177,0.0596,0.0437,3.07,-87.1,42.1,No
5.005,1.245,6.244,0.4799,0.4914,23.514,-47.1,59.3,Yes
4.918,1.963,9.466,1.8524,2.1779,125.961,-18.0,86.3,Yes
5.012,0.86,4.208,0.6375,0.6603,11.054,-48.0,60.5,Yes
